COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Vanuatu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-4.98,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,1.13,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-1.59,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-1.63,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.13,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.05,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.80,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,13.69,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-13.28,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-14.60,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,15.34,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-8.23,Units
Tuvalu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,0.65,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,2.55,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,2.05,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,5.35,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,9.25,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,2.49,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,7.79,Units
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-23.70,Units
