COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,2.87,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,2.55,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,8.54,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.07,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,7.09,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.46,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-6.54,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,6.45,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-3.68,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,3.22,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,2.50,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.44,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-2.07,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,3.70,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.31,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.05,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.03,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.86,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.27,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,0.10,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-11.75,Units
