COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-0.97,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-29.58,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-19.37,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,1.31,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,0.49,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-2.48,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.65,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-5.09,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-13.70,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-10.36,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-3.71,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-4.64,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-5.74,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-6.28,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-5.39,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-5.92,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-3.79,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-5.20,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-43.81,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-43.76,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-49.16,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-48.91,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-22.23,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-15.01,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,1.65,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,1.94,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,2.42,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,1.44,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,2.26,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,3.30,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,1.73,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,2.41,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,0.40,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-0.23,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-1.94,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-1.85,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-14.79,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-11.15,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-29.54,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-36.97,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-23.62,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-16.80,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,0.90,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-1.22,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-2.00,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-0.72,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-0.59,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-1.00,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.64,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,2.33,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-3.03,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,2.69,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,3.34,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,5.33,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,16.23,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,29.82,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-0.27,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,39.98,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,7.28,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,15.05,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,14.41,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,15.04,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,13.25,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,13.97,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,14.13,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,13.83,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,4.35,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,4.39,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,1.44,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,1.78,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,5.28,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.80,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,6.99,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,11.80,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,10.22,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,8.50,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,12.98,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,12.54,Units
"Sri Lanka","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.41,Units
"Sri Lanka","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-3.71,Units
"Sri Lanka","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-0.99,Units
